has_divert_trade,Boolean,Returns true if the protectorate has divert trade to its overlord.,(Subject) Country,has_divert_trade = yes
has_embargo_rivals,Boolean,Returns true if the subject nation is embargoing overlord's rivals.,(Subject) Country,has_embargo_rivals = no
has_scutage,Boolean,Returns true if the vassal pays scutage.,(Subject) Country,has_scutage = yes
has_send_officers,Boolean,Returns true if the protectorate has received officers.,(Subject) Country,has_send_officers = yes
has_subsidize_armies,Boolean,Returns true if the march has subsidizes armies.,(Subject) Country,has_subsidize_armies = yes
has_support_loyalists,Boolean,Returns true if the subject nation receives support for loyalists.,(Subject) Country,has_support_loyalists = yes
has_harsh_treatment,Boolean,[description needed],[scope needed],has_harsh_treatment = yes
colonial_claim_by_anyone_of_religion,Identifier,Returns true if ... has gotten a colonial grant for the scope's colonial region from any potential pope-like entities.,[scope needed],[example needed]
allows_female_emperor,Boolean,Returns true if females can become emperor.,Anywhere,allows_female_emperor = no
always,Boolean,"Returns true under all circumstances if set to yes, returns false under all circumstances if set to no.",Anywhere,always = no
has_first_revolution_started,Boolean,Returns true if a revolution has happened in the world.,Anywhere,has_first_revolution_started = yes
has_switched_nation,Boolean,Returns true if the player has changed nation by playing as a released vassal.,Anywhere,has_switched_nation = no
hre_leagues_enabled,Boolean,Returns true religious leagues are enabled.,Anywhere,hre_leagues_enabled = yes
hre_religion_locked,Boolean,Returns true if an official faith of the HRE has been permanently established.,Anywhere,hre_religion_locked = no
hre_religion_treaty,Boolean,Returns true if the treaty of religious peace in the HRE has been signed.,Anywhere,hre_religion_treaty = no
ironman,Boolean,Returns true if the ironman mode is enabled,Anywhere,ironman = yes
is_imperial_ban_allowed,Boolean,"Returns true if the emperor has a casus belli on occupiers of the Empire.
Note: Enabled/Disabled with Call for Reichsreform.",Anywhere,is_imperial_ban_allowed = yes
is_random_new_world,Boolean,Returns true if playing with a random New World.,Anywhere,is_random_new_world = no
normal_or_historical_nations,Boolean,Returns true if game is set to use normal or historical nations.,Anywhere,normal_or_historical_nations = yes
normal_province_values,Boolean,Returns true if game is set to use normal province values.,Anywhere,normal_province_values = yes
papacy_active,Boolean,Returns true if the papacy is active.,Anywhere,papacy_active = yes
calc_true_if,Clause,Returns true if at least amount number of targets within the specified scope match the specified conditions,Anywhere,"calc_true_if = {
        all_country = {
                religion = protestant
        }
        amount = 10
}"
custom_trigger_tooltip,Clause,Hides the enclosed condition so that it is still required but cannot be seen by human players and displays the specified tooltip in its place.,Anywhere,"custom_trigger_tooltip = {
        tooltip = EST_CRUSHED_NOMADIC_TRIBES
        NOT = { has_country_flag = nomadic_tribes_estate_in_power
        }
}"
had_global_flag,Clause,Returns true if the global flag X was last set at least Y days ago.,Anywhere,"had_global_flag = {
        flag = inc_smallpox
        days = 9125
}"
hidden_trigger,Clause,Hides the enclosed conditions so that they are still required but cannot be seen by human players.,Anywhere,"hidden_trigger = {
        NOT = {
                estate_influence = {
                        estate = estate_nomadic_tribes
                        influence = 85
                }
        }
}"
religion_years,Clause,Returns true if the specified religion is enabled for at least X years.,Anywhere,religion_years = { confucianism = 100 }
variable_arithmetic_trigger,Clause,"Can use variable effects and triggers to compare or change and compare modifier and trigger values. ""variable_arithmetic_trigger"" sections can include more ""variable_arithmetic_trigger"" sections. This has to be done for effects such as ""change_variable"" or effects of ""if"" sections inside the ""variable_arithmetic_trigger"", since the game may crash otherwise.",Anywhere,"variable_arithmetic_trigger = {
        custom_tooltip = from_total_development_is_10_times_bigger_than_ours
        export_to_variable = {
                which = our_total_development
                value = trigger_value:total_development
        }
        export_to_variable = {
                which = from_total_development
                value = trigger_value:total_development
                who = FROM
        }
        multiply_variable = { which = from_total_development value = 10 }

        check_variable = { which = from_total_development which = our_total_development }
}"
start_date,Date,Returns true if the start date of the campaign is X.,Anywhere,start_date = 1776.7.4
started_in,Date,Returns true if the start date of the campaign is X or after.,Anywhere,started_in = 1776.7.4
reform_desire,Float,Returns true if the reform desire is at least X%.,Anywhere,reform_desire = 0.95
current_age,Identifier,"Returns true, if the current age is X.",Anywhere,current_age = age_of_discovery
has_dlc,Identifier,Returns true if the DLC X is enabled.,Anywhere,"has_dlc = ""The Cossacks"""
has_global_flag,Identifier,Returns true if the specified global flag is set.,Anywhere,has_global_flag = japan_has_encountered_the_west
is_institution_enabled,Identifier,Returns true if the specified institution has been discovered.,Anywhere,is_institution_enabled = renaissance
is_religion_enabled,Identifier,Returns true if the specified religion is enabled.,Anywhere,is_religion_enabled = reformed
hre_heretic_religion,"Identifier, Scope","Returns true if the specified religion is the opposition religion of the HRE.
Note: No localisation for the negation.",Anywhere,hre_heretic_religion = catholic
hre_religion,"Identifier, Scope",Returns true if the specified religion is the dominant faith of the HRE.,Anywhere,hre_religion = catholic
empire_of_china_reform_level,Integer,"Returns true, if at least X Empire of China reforms are enacted. Works similar to [i]hre_reform_level[/i]",Anywhere,empire_of_china_reform_level = 3
hre_reform_level,Integer,Returns true if the Xth imperial reform is enacted.,Anywhere,hre_reform_level = 6
hre_size,Integer,Returns true if the HRE contains at least X members.,Anywhere,hre_size = 10
imperial_influence,Integer,Returns true if the emperor of the HRE has an imperial authority of at least X.,Anywhere,imperial_influence = 25
imperial_mandate,Integer,"Returns true, if the emperor of China has at least X mandate.",Anywhere,<imperial_mandate = 80</code>
is_month,Integer,Returns true if the current month is at least X (zero based).,Anywhere,is_month = 1 # February
is_year,Integer,Returns true if the current year is at least X.,Anywhere,is_year = 1750
num_of_electors,Integer,Returns true if there are at least X electors of the HRE.,Anywhere,num_of_electors = 7
real_day_of_year,Integer,"Returns true, if today is X. Refers to the actual real day (probably takes system time).",Anywhere,[example needed]
real_month_of_year,Integer,Returns true if the month of the year in reality is at least X (January ≙ 0),Anywhere,real_month_of_year = 6 # Mai
total_number_of_cardinals,Integer,Returns true if the total number of cardinals is at least X.,Anywhere,total_number_of_cardinals = 49
