<rebel type>,"<int>
The size to use.",anti_tax_rebels = 1,Spawns the defined rebel type in the current province scope.,Rebel types found in /Europa Universalis IV/common/rebel_types/*.txt.,1.1
<unit name>,"<scope>
The country scope the unit belongs to","capital_scope = {
    british_redcoat = FRA
}",Spawns a specific unit in the current province scope for the defined country scope.,Units can be found in /Europa Universalis IV/common/units/*.txt.,1.1
add_base_manpower,"<int>
The amount of base manpower to add or subtract.",add_base_manpower = 1,Adds base manpower to the current province scope.,,1.1
add_base_production,"<int>
The amount of base production to add or subtract.",add_base_production = 1,Adds base production to the current province scope.,,1.1
add_base_tax,"<int>
The amount of base tax to add or subtract.",add_base_tax = 1,Adds base tax to the current province scope.,,1.1
add_building,"<building>
The building to add.",add_building = temple,Adds the defined building to the current province scope.,Buildings are found in /Europa Universalis IV/common/buildings/*.txt.,1.1
add_building_construction,"building = <building>
The building to construct.
speed = <float>
The speed percentage of the base building speed to use.
cost = <float>
The cost percentage of the base building cost to use.","add_building_construction = {
    building = temple
    speed = 0.5
    cost = 0.5
}",Starts building construction in the current province scope.,"cost and speed are a percentage of the base value, i.e. 0.5 is 50% of the base value.",1.11
add_cardinal,"yes
Boolean.",add_cardinal = yes,"Adds a Cardinal to the current province scope, for the current owner.",,1.8
add_claim,"<scope>
The country that gains the claim.","capital_scope = {
    add_claim = FRA
}",The defined scope gains a claim on the current province scope.,,1.1
add_colonysize,"<int>
The amount of settlers to add.",add_colonysize = 10,Adds settlers to the current province scope if a colony.,,1.1
add_construction_progress,"<float>
The amount of progress to add or subtract.",add_construction_progress = 0.05,Changes the construction progress of a great project in the current province scope.,,1.6
add_core,"<scope>
The country that gains the core.","capital_scope = {
    add_core = FRA
}",The defined scope gains a core on the current province scope.,,1.1
add_core_construction,"yes
Boolean.",add_core_construction = yes,"Starts core construction in the current province scope, for the current owner.",,1.11
add_culture_construction,"yes
Boolean.",add_culture_construction = yes,"Starts culture conversion in the current province scope, for the current owner.",,1.12
add_devastation,"<int>
The amount of devastation to add or subtract.",add_devastation = 1,Adds devastation to the current province scope.,,1.2
add_great_project,"<project>
The great project to add.",add_great_project = kiel_canal,Starts construction of a great project in the current province scope.,Great projects are found in /Europa Universalis IV/common/great_projects/*.txt.,1.6
add_institution_embracement,"which = <institution>
The institution to add to.
value = <int>
The amount of embracement to add or subtract.","add_institution_embracement = {
    which = feudalism
    value = 10
}",Adds institution embracement progress for the defined institution in the current province scope.,The defined institution must be enabled for the owner of the province first.,1.18
add_local_autonomy,"<int>
The amount of local autonomy to add or subtract.",add_local_autonomy = 10,Adds local autonomy to the current province scope.,,1.8
add_nationalism,"<int>
The amount to add or subtract.",add_nationalism = 10,Adds Nationalism to the current province scope.,,1.1
add_permanent_claim,"<scope>
The country that gains the permanent claim.","capital_scope = {
    add_permanent_claim = FRA
}",The defined scope gains a permanent claim on the current province scope.,,1.14
add_permanent_province_modifier,"name = <name>
The event modifier to add.
duration = <days>
Optional. The number of days to add the province modifier for.
hidden = yes
Optional. Whether the province modifier is hidden in the province view.
desc = <string
Optional. The string used to override the automatic duration string.","add_permanent_province_modifier = {
    name = annoyed_people
    duration = -1
    desc = annoyed_people_tooltip
    hidden = yes
}",Adds an event modifier to the current province scope as a province modifier.,Modifiers added with this effect persist through ownership changes.,1.1
add_prosperity,"<int>
The amount of prosperity to add or subtract.",add_prosperity = 1,Adds prosperity to the current province scope.,,1.2
add_province_modifier,"name = <name>
The event modifier to add.
duration = <days>
Optional. The number of days to add the province modifier for.
hidden = yes
Optional. Whether the province modifier is hidden in the province view.
desc = <string
Optional. The string used to override the automatic duration string.","add_province_modifier = {
    name = annoyed_people
    duration = -1
    desc = annoyed_people_tooltip
    hidden = yes
}",Adds an event modifier to the current province scope as a province modifier.,Modifiers added with this effect are cleared automatically when the province changes ownership.,1.1
add_province_triggered_modifier,"<modifier>
The province triggered modifier to add.",add_province_triggered_modifier = test_modifier,Adds a province triggered modifier to the current province scope.,,1.24
add_reform_center,"<religion>
The religion to use.",add_reform_center = reformed,Adds a Center of Reformation for the defined religion in the current province scope.,,1.8
add_scaled_local_adm_power,"<int>
The amount of administrative power to add.",add_scaled_local_adm_power = 10,"Adds Administrative power to the owner of the current province scope, scaling with the base tax.",1 power per point of yearly base tax.,1.12
add_scaled_local_dip_power,"<int>
The amount of diplomatic power to add.",add_scaled_local_dip_power = 10,"Adds Diplomatic power to the owner of the current province scope, scaling with the base production.",1 power per point of yearly base production.,1.12
add_scaled_local_mil_power,"<int>
The amount of military power to add.",add_scaled_local_mil_power = 10,"Adds Military power to the owner of the current province scope, scaling with the base manpower.",1 power per point of yearly base manpower.,1.12
add_siberian_construction,"<int>
The initial size of the colony.",add_siberian_construction = 400,Starts a siberian colony in the current province scope.,Only works if the ROOT scope is a country that can use Siberian Frontiers.,1.22
add_territorial_core,"<scope>
The country that gains the territorial core.","capital_scope = {
    add_territorial_core = FRA
}",The defined scope gains a territorial core on the current province scope.,,1.18
add_trade_modifier,"who = <scope>
The country scope that receives the modifier.
duration = <days>
The duration of the modifier.
power = <float>
The amount of trade power to add or subtract.
key = <string>
The key to display as the modifier in the tooltip.","add_trade_modifier = {
    who = ROOT
    duration = 5475
    power = 15
    key = STRONG_MERCHANTS
}",Adds a trade modifier for the defined country scope in the current tradenode province scope.,Can be added to any province within a tradenode.,1.1
add_trade_node_income,"<int>
The amount to add or subtract.",add_trade_node_income = 10,Adds income to the current tradenode province scope.,Only works when the current province scope is the location of a tradenode center.,1.1
add_unit_construction,"type = <type>
Which type of unit to build.
amount = <int>
The amount to build.
speed = <float>
The speed percentage of the base unit construction speed to use.
cost = <float>
The cost percentage of the base unit construction cost to use.
mercenary = yes
Optional. Makes the constructed units mercenaries.","add_unit_construction = {
    type = light_ship
    amount = 20
    speed = 0.1
    cost = 0
}",Constructs the defined units in the current province scope.,Possible types:infantry cavalry artillery heavy_ship light_ship galley transport <unit_name>,1.1
add_unrest,"<int>
The amount to add or subtract.",add_unrest = 10,Adds Local Unrest to the current province scope.,Appears under Base Unrest.,1.8
